"sol:0","sol:1","sol:2","anal2","error2","Points:0","Points:1","Points:2"
6.3185,-10.473,0,6.3185,7.7444e-07,3.546,0.89101,7.7444e-07
4.5081,-11.207,0,4.5081,4.1169e-07,3.691,0.95106,4.1169e-07
2.6152,-11.663,0,2.6152,3.2227e-07,3.8436,0.98769,3.2227e-07
13.292,-0.90678,0,13.292,6.7741e-07,3.0031,0.078459,6.7741e-07
12.966,-2.7013,0,12.966,1.3701e-07,3.0276,0.23345,1.3701e-07
12.326,-4.438,0,12.326,2.1146e-07,3.0761,0.38268,2.1146e-07
11.395,-6.0769,0,11.395,4.3089e-07,3.1474,0.5225,4.3089e-07
10.203,-7.5773,0,10.203,8.1605e-08,3.2396,0.64945,8.1605e-08
8.7847,-8.8999,0,8.7847,9.5313e-09,3.3506,0.76041,9.5313e-09
7.1791,-10.009,0,7.1791,2.9713e-07,3.4775,0.85264,2.9713e-07
5.4263,-10.874,0,5.4263,7.2619e-07,3.6173,0.92388,7.2619e-07
3.5692,-11.47,0,3.5692,3.4709e-07,3.7666,0.97237,3.4709e-07
1.6519,-11.782,0,1.6519,4.1638e-09,3.9215,0.99692,4.1638e-09
-1.2375,-11.7,0,-1.2375,3.0983e-07,4.1564,0.98769,3.0983e-07
-3.1064,-11.28,0,-3.1064,4.0938e-07,4.309,0.95106,4.0938e-07
-4.8776,-10.578,0,-4.8776,7.8125e-07,4.454,0.89101,7.8125e-07
-6.5089,-9.6122,0,-6.5089,3.7807e-08,4.5878,0.80902,3.7807e-08
-7.9615,-8.4066,0,-7.9615,4.2529e-07,4.7071,0.70711,4.2529e-07
-9.2007,-6.9914,0,-9.2007,3.5029e-07,4.809,0.58779,3.5029e-07
-10.197,-5.4019,0,-10.197,7.2076e-08,4.891,0.45399,7.2076e-08
-10.926,-3.6778,0,-10.926,8.3397e-07,4.9511,0.30902,8.3397e-07
-11.371,-1.8621,0,-11.371,8.9804e-07,4.9877,0.15643,8.9804e-07
-0.28023,-11.801,0,-0.28023,2.8551e-08,4.0785,0.99692,2.8551e-08
-2.1815,-11.526,0,-2.1815,3.566e-07,4.2334,0.97237,3.566e-07
-4.0069,-10.963,0,-4.0069,7.5778e-07,4.3827,0.92388,7.5778e-07
-5.7132,-10.127,0,-5.7132,2.9197e-07,4.5225,0.85264,2.9197e-07
-7.2598,-9.0376,0,-7.2598,2.3248e-08,4.6494,0.76041,2.3248e-08
-8.6098,-7.7231,0,-8.6098,8.3602e-08,4.7604,0.64945,8.3602e-08
-9.7308,-6.2161,0,-9.7308,3.6119e-07,4.8526,0.5225,3.6119e-07
-10.596,-4.5541,0,-10.596,3.007e-07,4.9239,0.38268,3.007e-07
-11.185,-2.7786,0,-11.185,1.0608e-07,4.9724,0.23345,1.0608e-07
-11.483,-0.93397,0,-11.483,6.9973e-07,4.9969,0.078459,6.9973e-07
-7.2446,0,0,-7.2446,1.2472e-08,5.25,0,1.2472e-08
-4.9366,0,0,-4.9366,9.8714e-09,5.5,0,9.8714e-09
-3.5554,0,0,-3.5554,3.222e-08,5.75,0,3.222e-08
-9.0246,0,0,-9.0246,3.5724e-08,5.125,0,3.5724e-08
-5.9317,0,0,-5.9317,1.7988e-08,5.375,0,1.7988e-08
-4.1651,0,0,-4.1651,3.658e-08,5.625,0,3.658e-08
